motif,good_count,good_support,bad_count,bad_support,manual_count,manual_support,good_minus_bad,bad_minus_good,shared_strength,manual_alignment,group
field:spineb0_enclb0_interb0,53,0.09778597785977859,1014,0.25612528416266733,19,0.1484375,-0.15833930630288873,0.15833930630288873,0.09778597785977859,0.1484375,shared
capacity:Sb1_CC1_C0,68,0.12546125461254612,380,0.09598383430159131,13,0.1015625,0.029477420310954808,-0.029477420310954808,0.09598383430159131,0.1015625,shared
relhist:E4_T0_X0_C0,48,0.08856088560885608,791,0.1997979287698914,16,0.125,-0.1112370431610353,0.1112370431610353,0.08856088560885608,0.125,shared
capacity:Sb1_CC2_C0,47,0.08671586715867159,411,0.10381409446830007,0,0.0,-0.017098227309628483,0.017098227309628483,0.08671586715867159,0.0,shared
orient:axisb0_diagb3_curveb0,44,0.08118081180811808,631,0.15938368274816872,4,0.03125,-0.07820287094005064,0.07820287094005064,0.08118081180811808,0.03125,shared
orient:axisb0_diagb2_curveb3,45,0.08302583025830258,309,0.07805001262945188,4,0.03125,0.004975817628850701,-0.004975817628850701,0.07805001262945188,0.03125,shared
capacity:Sb0_CC1_C0,62,0.11439114391143912,289,0.07299823187673656,92,0.71875,0.041392912034702564,-0.041392912034702564,0.07299823187673656,0.71875,shared
role:maxD2_B0_portb2,39,0.07195571955719557,668,0.16872947714069209,24,0.1875,-0.09677375758349652,0.09677375758349652,0.07195571955719557,0.1875,shared
field:spineb1_enclb0_interb0,39,0.07195571955719557,534,0.13488254609749936,23,0.1796875,-0.06292682654030379,0.06292682654030379,0.07195571955719557,0.1796875,shared
field:spineb1_enclb2_interb0,39,0.07195571955719557,280,0.07072493053801465,3,0.0234375,0.0012307890191809168,-0.0012307890191809168,0.07072493053801465,0.0234375,shared
field:spineb0_enclb0_interb1,51,0.0940959409594096,218,0.05506441020459712,5,0.0390625,0.03903153075481248,-0.03903153075481248,0.05506441020459712,0.0390625,shared
role:maxD2_B0_portb1,32,0.05904059040590406,213,0.05380146501641829,56,0.4375,0.005239125389485767,-0.005239125389485767,0.05380146501641829,0.4375,shared
field:spineb1_enclb3_interb0,27,0.04981549815498155,217,0.05481182116696135,1,0.0078125,-0.004996323011979803,0.004996323011979803,0.04981549815498155,0.0078125,shared
capacity:Sb1_CC1_C2,66,0.12177121771217712,193,0.04874968426370296,1,0.0078125,0.07302153344847417,-0.07302153344847417,0.04874968426370296,0.0078125,shared
orient:axisb1_diagb2_curveb0,25,0.046125461254612546,283,0.07148269765092195,4,0.03125,-0.025357236396309407,0.025357236396309407,0.046125461254612546,0.03125,shared
proxy:interlocked_ports,44,0.08118081180811808,181,0.04571861581207375,7,0.0546875,0.035462195996044325,-0.035462195996044325,0.04571861581207375,0.0546875,shared
capacity:Sb1_CC2_C1,23,0.042435424354243544,280,0.07072493053801465,0,0.0,-0.02828950618377111,0.02828950618377111,0.042435424354243544,0.0,shared
